tipo,urls,impresiones,pct_impresiones,clics,ctr_pct,posicion
ficha producto,29,3695,56.0,40,1.08,36.7
otra/huerfana,33,1826,27.7,11,0.6,44.4
home,1,582,8.8,20,3.44,48.5
landing/pagina,16,254,3.9,0,0.0,54.6
blog,19,186,2.8,0,0.0,27.2
categoria producto,7,42,0.6,1,2.38,39.9
marca,2,7,0.1,1,14.29,10.0
archivo blog,1,1,0.0,0,0.0,28.0
