mes,dias,impresiones,clics,ctr_pct,posicion
2026-04,2,0,0,0,0
2026-05,31,623,21,3.37,13.9
2026-06,30,616,15,2.44,29.9
2026-07,31,1517,32,2.11,21.5
2026-08,31,2680,19,0.71,44.8
2026-09,19,1086,9,0.83,41.6
