tramo,impresiones,pct_impresiones,clics,ctr_pct
1-3,21,0.5,0,0.0
4-10,415,10.3,3,0.72
11-20,157,3.9,2,1.27
21-50,1621,40.2,8,0.49
51+,1823,45.2,5,0.27
