tipo,urls,impresiones,pct,clics,ctr_pct
ficha producto,19,4003,60.7,42,1.05
blog (articulo),19,1197,18.2,7,0.58
home,1,582,8.8,20,3.44
landing/pagina,17,432,6.6,2,0.46
pagina sin sitemap,2,308,4.7,0,0.0
categoria producto,7,42,0.6,1,2.38
archivo blog,4,22,0.3,0,0.0
marca (404),2,7,0.1,1,14.29
